impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K22-145555,A662490,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2428137,In Public Home,,Cat,Under 1 year<p/>,Female,American Shorthair,Unknown,"Apr 22, 2022",Date Found,200 block of  MERIDIAN AVE E,EDGEWO,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2428137,Image Copyright HLP Inc. 2022,"Description: Found it crying in 207 East Apartments complex. She does not have collar, no microchip. She has long smooth tail with black tip and seems to have keratitis on her right eye as her eye is bit foggy. <p/>Age: Under 1 year<p/>Found Near: 200 block of  MERIDIAN AVE E<p/>Found Date: 2022-04-22<p/>",
K22-146212,A664142,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,3 WEEKS,Female,Domestic Shorthair,Calico,"May 15, 2022",Received on,16300 block of  42ND AVE S,TUKWILA,WA,98188,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664142,Image Copyright HLP Inc. 2022,Received on: 2022-05-15<p/> Found Near: 16300 block of  42ND AVE S<p/> Description: Calico Female Domestic Shorthair Cat<p/> Age: 3 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K22-146127,A663925,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A663925,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Toby,Dog,2 YEARS,Neutered Male,German Shepherd,Black / Tan,"May 12, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A663925,Image Copyright HLP Inc. 2022,"Received on: 2022-05-12<p/> Description: Black / Tan<p/>  Neutered Male German Shepherd Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $250.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Toby and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 05/12/22.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit""<p/><p/>I am an independent dog who likes to do my own thing!<p/><p/>My caregivers have observed that I might not get along with other dogs. I may do best as the only dog in my new home, or I may need a very slow introduction to other dogs.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K22-145900,A663368,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Male,Domestic Mediumhair,Brn Tabby / White,"May 05, 2022",Received on,16200 block of  NE 6TH ST,BELLEVUE,WA,98008,BELLEVUE,,,,Image Copyright HLP Inc. 2022,Received on: 2022-05-05<p/> Found Near: 16200 block of  NE 6TH ST<p/> Description: Brn Tabby / White Male Domestic Mediumhair Cat<p/> Age: NO AGE<p/>,
K22-145901,A663380,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2433478,LOST,Sirius Black,Cat,Over 1 year<p/>,Male,Pixiebob Shorthair,Unknown,"May 03, 2022",Date Lost,37TH  AVE S AND S 270TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2433478,Image Copyright HLP Inc. 2022,"Description: Sirius is a small pixie Bob - 12 years old. He has lynx like marking<p/>Age: Over 1 year<p/>Location Lost: 37th Ave S and S 270th st, Kirkland WA  98033<p/>Lost Date: 2022-05-03<p/>",
K22-145993,A663644,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A663644,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Charlie Bucket,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Orange,"May 09, 2022",Received on,28600 block of  142ND PL SE,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A663644,Image Copyright HLP Inc. 2022,"Received on: 2022-05-09<p/> Found Near: 28600 block of  142ND PL SE<p/> Description: Orange Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K22-146380,A664536,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A664536,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,5 MONTHS,Male,Domestic Shorthair,Black,"May 20, 2022",Received on,12400 block of  SE 233RD ST,KENT,WA,98031,KENT,47.393878,-122.17602,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664536,Image Copyright HLP Inc. 2022,"Received on: 2022-05-20<p/> Found Near: 12400 block of  SE 233RD ST<p/> Description: Black Male Domestic Shorthair Cat<p/> Age: 5 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-146288,A664338,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A664338,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Beetle,Dog,2 YEARS,Neutered Male,American Pit Bull Terrier,Br Brindle / White,"May 17, 2022",Received on,8800 block of  S 228TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664338,Image Copyright HLP Inc. 2022,"Received on: 2022-05-17<p/> Found Near: 8800 block of  S 228TH ST<p/> Description: Br Brindle / White Neutered Male American Pit Bull Terrier Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K22-146381,A664537,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A664537,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,5 MONTHS,Female,Domestic Shorthair,Gray,"May 20, 2022",Received on,12400 block of  SE 233RD ST,KENT,WA,98031,KENT,47.393878,-122.17602,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664537,Image Copyright HLP Inc. 2022,"Received on: 2022-05-20<p/> Found Near: 12400 block of  SE 233RD ST<p/> Description: Gray Female Domestic Shorthair Cat<p/> Age: 5 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-146276,A664320,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2438715,LOST,Sunny,Cat,Over 1 year<p/>,Male,Siamese,White,"May 16, 2022",Date Lost,298TH  AND 51ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2438715,Image Copyright HLP Inc. 2022,"Description: Cream point siamese. White and orange. Orange ringed tail. Currently has a black scar on his nose. Blue eyes. He's long and skinny.<p/>Age: Over 1 year<p/>Location Lost: 298th and 51st, Auburn WA  98001<p/>Lost Date: 2022-05-16<p/>",
K22-146281,A664326,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,3 WEEKS,Male,Domestic Shorthair,Brn Tabby,"May 17, 2022",Received on,16300 block of  42ND AVE S,TUKWILA,WA,98188,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664326,Image Copyright HLP Inc. 2022,Received on: 2022-05-17<p/> Found Near: 16300 block of  42ND AVE S<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: 3 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K22-146077,A663811,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2435971,LOST,Leo,Cat,Over 1 year<p/>,Male,Colorpoint,Unknown,"May 09, 2022",Date Lost,27600 block of  125TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2435971,Image Copyright HLP Inc. 2022,"Description: Lynx Point, Male, the end of his tail is little broken<p/>Age: Over 1 year<p/>Location Lost: 27609 125th Ave Se, Kent WA  98030<p/>Lost Date: 2022-05-09<p/>",
K22-145953,A663512,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2434524,LOST,Kitkat,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Brown,"May 03, 2022",Date Lost,NW  61ST ST AND 32ND NW ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2434524,Image Copyright HLP Inc. 2022,"Description: All brown with a white patch on chest. Fluffy tail. Neutered male. <p/>Age: Over 1 year<p/>Location Lost: NW 61st St and 32nd NW St, Seattle WA  98107<p/>Lost Date: 2022-05-03<p/>",
K22-146311,A664390,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A664390,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Freya,Dog,8 MONTHS,Female,Alaskan Husky,Sable / White,"May 18, 2022",Received on,25700 block of  158TH PL SE,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664390,Image Copyright HLP Inc. 2022,"Received on: 2022-05-18<p/> Found Near: 25700 block of  158TH PL SE<p/> Description: Sable / White Female Alaskan Husky Dog<p/> Age: 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-146135,A663940,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2436531,In Public Home,Karen Jurgen,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"May 08, 2022",Date Found,442ND  SE 161ST PL,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2436531,Image Copyright HLP Inc. 2022,"Description: Dark Tabby.  Very sweet kitty.  I think female, but it's hiding in cabinet so I can't verify<p/>Age: Over 1 year<p/>Found Near: 442nd SE 161st Pl, North Bend WA  98045<p/>Found Date: 2022-05-08<p/>",
K22-146153,A663982,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2436872,In Public Home,,Dog,Over 1 year<p/>,Male,Chihuahua - Smooth Coated,Black,"May 13, 2022",Date Found,100TH  AVE NE AND NE 132ND ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2436872,Image Copyright HLP Inc. 2022,"Description: BLACK TERRIER CHIUAHAUA MIX. Found WITH HARNESS AND LEASH.<p/>Age: Over 1 year<p/>Found Near: 100TH AVE NE AND NE 132ND ST, Kirkland WA  98034<p/>Found Date: 2022-05-13<p/>",
K22-145509,A662396,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2427386,LOST,Hua,Cat,Over 1 year<p/>,Male,Exotic Shorthair,Unknown,"Apr 22, 2022",Date Lost,7500 block of  166TH AVE NE,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2427386,Image Copyright HLP Inc. 2022,"Description: I Lost my CAT at Redmond Town Center (The shopping center at downtown Redmond), Central Parking Lot, Floor 1 (P-1). It is the biggest parking lot with 3 floors totally. <p/>Last seen: April.22, 2022. Around 6:35 - 7 PM. (Friday)<p/>He is 2 years old. He's been neutered but hasn't done for microchip.. No collar.<p/>Color: Tabby  Weight: around 12.5 lbs<p/>He is Exotic shorthair & Minuet mixed breed boy. He has flat face and easily to have tears. His legs are kind of short. <p/>Age: Over 1 year<p/>Location Lost: 7525 166th Ave NE, Redmond, WA , Redmond WA  98052<p/>Lost Date: 2022-04-22<p/>",
K22-146419,A664628,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A664628,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,2 YEARS,Female,Domestic Shorthair,Tortie,"May 21, 2022",Received on,10200 block of  AQUA WAY S,SEATTLE,WA,98168,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664628,Image Copyright HLP Inc. 2022,"Received on: 2022-05-21<p/> Found Near: 10200 block of  AQUA WAY S<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-146433,A654485,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A654485,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Luke,Dog,9 YEARS 5 MONTHS,Neutered Male,Labrador Retriever,Silver,"May 22, 2022",Received on,25900 block of  118TH PL SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A654485,Image Copyright HLP Inc. 2022,"Received on: 2022-05-22<p/> Found Near: 25900 block of  118TH PL SE<p/> Description: Silver Neutered Male Labrador Retriever Dog<p/> Age: 9 YEARS 5 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K22-146240,A664234,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2438243,LOST,Ari,Cat,Over 1 year<p/>,Female,Siamese,White,"May 15, 2022",Date Lost,64TH  AND JAMES,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2438243,Image Copyright HLP Inc. 2022,"Description: Flamepoint Siamese. She has a cleft palate and 7 toes on each front foot (polydactyl)<p/>Age: Over 1 year<p/>Location Lost: 64th and James, Kent WA  98032<p/>Lost Date: 2022-05-15<p/>",
K22-146413,A664617,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2440583,LOST,Bandit,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Black,"Apr 29, 2022",Date Lost,191ST  PL SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2440583,Image Copyright HLP Inc. 2022,"Description: 1 yr old male. Black body white paws and neck <p/>Age: Over 1 year<p/>Location Lost: 191st pl se, Renton WA  98058<p/>Lost Date: 2022-04-29<p/>",
K22-146347,A664469,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A664469,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 YEARS,Neutered Male,Domestic Shorthair,Gray,"May 19, 2022",Received on,22800 block of  113TH AVE SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664469,Image Copyright HLP Inc. 2022,"Received on: 2022-05-19<p/> Found Near: 22800 block of  113TH AVE SE<p/> Description: Gray Neutered Male Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-145176,A579741,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A579741,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Buddy,Dog,5 YEARS 3 MONTHS,Neutered Male,German Shepherd / Mix,Brown / Black,"Apr 08, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579741,Image Copyright HLP Inc. 2022,"Received on: 2022-04-08<p/> Description: Brown / Black<p/>  Neutered Male German Shepherd / Mix Dog<p/> Age: 5 YEARS 3 MONTHS<p/> Adoption Fee: $175.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Buddy and I am available for adoption.<p/><p/>I was found by an Animal Control officer on December 24, 2021. I was adopted and returned a couple times. I was brought back on 2/17/22 due to frequently escaping from my fenced yard. <p/><p/>I am an independent dog who likes to do my own thing! I would do best in a home with older children. <p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit"".<p/><p/>My caregivers have observed that I might not get along with other dogs or prey animals. I may do best as the only dog in my new home, or I may need a very slow introduction to other dogs.<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/>",BLUE
K20-132029,A623606,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2191003,LOST,Bubbleton,Dog,Over 1 year<p/>,Male,Pomeranian,Unknown,"Oct 23, 2020",Date Lost,AIRPORT  RD. EVERETT WA,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2191003,Image Copyright HLP Inc. 2022,Description: He is blind and disabled may be agreesive<p/>Age: Over 1 year<p/>Location Lost: Airport rd. Everett WA<p/>Lost Date: 10/21/2022<p/>Owner Address: 12433 Admiralty way Everett WA 98204<p/>,
K22-146392,A664590,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A664590,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 WEEKS,Male,Domestic Shorthair,Black,"May 21, 2022",Received on,24400 block of  148TH AVE SE,KENT,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664590,Image Copyright HLP Inc. 2022,"Received on: 2022-05-21<p/> Found Near: 24400 block of  148TH AVE SE<p/> Description: Black Male Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-145536,A662469,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2428000,In Public Home,,Dog,Unknown<p/>,Unknown,Scottish Terrier,White,"Apr 24, 2022",Date Found,5TH  STREET AND 9TH AVENUE KIRKLAND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2428000,Image Copyright HLP Inc. 2022,"Description: Small white older terrier-ish<p/>Age: Unknown<p/>Found Near: 5th Street and 9th Avenue Kirkland, Kirkland WA  98033<p/>Found Date: 2022-04-24<p/>",
K22-146034,A663726,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,9 WEEKS,Female,Domestic Shorthair,Brn Tabby,"May 10, 2022",Received on,4600 block of  S 170TH ST,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A663726,Image Copyright HLP Inc. 2022,Received on: 2022-05-10<p/> Found Near: 4600 block of  S 170TH ST<p/> Description: Brn Tabby Female Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K22-145952,A663511,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2434403,LOST,Josie,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"May 06, 2022",Date Lost,MALLARD  LANE AND W LK SAMMAMISH PKWY NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2434403,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: Mallard Lane and W Lk Sammamish Pkwy NE, Bellevue WA  98008<p/>Lost Date: 2022-05-06<p/>",
K22-145631,A662661,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2429201,LOST,Rocky,Dog,Over 1 year<p/>,Male,Labrador Retriever,Unknown,"Apr 23, 2022",Date Lost,2300 block of  NE 117TH ST,SEATTLE,WA,98125,SEATTLE,47.713731,-122.303891,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2429201,Image Copyright HLP Inc. 2022,"Description: Rocky is a lab mix redish gold  color a little black on his back and tail. White face and a small lump on his chest.<p/>Age: Over 1 year<p/>Location Lost: 2300 NE 117th St, Seattle WA  98125<p/>Lost Date: 2022-04-23<p/>",
K22-146269,A664307,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,NO AGE,Male,Pit Bull / Mix,Gray,"May 17, 2022",Received on,25000 block of  REITH RD,KENT,WA,98032,KENT,47.369925,-122.282776,,Image Copyright HLP Inc. 2022,Received on: 2022-05-17<p/> Found Near: 25000 block of  REITH RD<p/> Description: Gray Male Pit Bull / Mix Dog<p/> Age: NO AGE<p/>,
K22-145598,A662561,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2428668,LOST,Pokie,Cat,Under 1 year<p/>,Male,Domestic Mediumhair,Black,"Apr 22, 2022",Date Lost,21600 block of  SE 256TH PL,MAPLE VALLEY,WA,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2428668,Image Copyright HLP Inc. 2022,"Description: Black with a small white patch on chest and a large white patch between hind legs. <p/>Age: Under 1 year<p/>Location Lost: 21628 SE 256th Pl, Maple Valley WA  98038<p/>Lost Date: 2022-04-22<p/>",
K22-145654,A662692,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2429456,LOST,Jinx,Cat,Under 1 year<p/>,Male,Domestic Mediumhair,Unknown,"Apr 23, 2022",Date Lost,CARLETON  AVE AND WILLOW ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2429456,Image Copyright HLP Inc. 2022,"Description: Brown tabby, intact male very timid and may not come to people<p/>Age: Under 1 year<p/>Location Lost: carleton ave and willow st, Seattle WA  98108<p/>Lost Date: 2022-04-23<p/>",
K22-146406,A664611,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A664611,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,NO AGE,Neutered Male,Australian Cattle Dog / Mix,Red Merle,"May 21, 2022",Received on,45100 block of  SE 140TH ST,NORTH BEND,WA,98045,NORTH BEND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664611,Image Copyright HLP Inc. 2022,"Received on: 2022-05-21<p/> Found Near: 45100 block of  SE 140TH ST<p/> Description: Red Merle Neutered Male Australian Cattle Dog / Mix Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-145653,A662691,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2429452,In Public Home,Gina Hieb,Rabbit,Unknown<p/>,Unknown,,Unknown,"Apr 15, 2022",Date Found,32700 block of  19TH PL. SO.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2429452,Image Copyright HLP Inc. 2022,Description: Tan rabbit. Looks like a pet rabbit<p/>Age: Unknown<p/>Found Near: 32700 block of  19TH PL. SO. <p/>Found Date: 2022-04-15<p/>,
K22-146113,A663904,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A663904,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,1 WEEK,Female,Domestic Shorthair,Calico,"May 09, 2022",Received on,800 block of  4TH AVE N,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A663904,Image Copyright HLP Inc. 2022,"Received on: 2022-05-09<p/> Found Near: 800 block of  4TH AVE N<p/> Description: Calico Female Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-145926,A663451,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2433886,LOST,Berkeley,Dog,Over 1 year<p/>,Male,Labrador Retriever,Black,"May 03, 2022",Date Lost,LAKE  WASHINGTON BLVD NE & NE 43RD ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2433886,Image Copyright HLP Inc. 2022,"Description: Male 2-3 year old black lab mix with some brindle markings on his legs and face. Brown eyes, short hair, about 60lbs, and demeanor is shy and skittish. Loves pepperoni sticks<p/>Age: Over 1 year<p/>Location Lost: Lake Washington Blvd NE & NE 43rd St, Kirkland WA  98033<p/>Lost Date: 2022-05-03<p/>",
K22-146094,A663873,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,3 WEEKS,Female,Domestic Mediumhair,Brn Tabby / White,"May 11, 2022",Received on,3500 block of  S 312TH PL,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A663873,Image Copyright HLP Inc. 2022,Received on: 2022-05-11<p/> Found Near: 3500 block of  S 312TH PL<p/> Description: Brn Tabby / White Female Domestic Mediumhair Cat<p/> Age: 3 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K22-145216,A661186,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2421261,LOST,Pugovka,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,"Apr 09, 2022",Date Lost,17600 block of  143 AVE SE RENTON,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2421261,Image Copyright HLP Inc. 2022,"Description: White cat bob tail<p/>Age: Over 1 year<p/>Location Lost: 17634 143 Ave SE Renton, Renton WA  98058<p/>Lost Date: 04/09/2022<p/>",
